Format Version,1.0,
Take Name,trial1_squat,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,24 Dec 2019 15:40:38 +0900,
Total Frames In Take,5983,
Total Exported Frames,5983,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.501692,
PosX_PosY_Y,-0.000067,
PosX_PosY_Z,0.500841,
NegX_PosY_X,-0.000059,
NegX_PosY_Y,-0.000028,
NegX_PosY_Z,0.501540,
NegX_NegY_X,-0.000048,
NegX_NegY_Y,0.000003,
NegX_NegY_Z,0.000010,
PosX_NegY_X,0.501703,
PosX_NegY_Y,-0.000036,
PosX_NegY_Z,-0.000689,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,5,-32.453125,11.318359,262.812500,-6.225830,-15.686035,-4.405273,0.059685,-0.023689,0.000000
6,0.060000,6,-32.613281,10.877441,262.812500,-6.171387,-15.790527,-4.341797,0.060083,-0.023482,0.000000
7,0.070000,7,-31.334961,11.039063,263.203125,-6.145996,-15.800293,-4.377197,0.060031,-0.023351,0.000000
8,0.080000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.090000,9,-31.788086,10.301758,262.796875,-6.014404,-15.837891,-4.168457,0.060267,-0.022886,0.000000
10,0.100000,10,-31.907227,10.466309,263.968750,-5.950928,-15.889160,-4.145264,0.060193,-0.022544,0.000000
11,0.110000,11,-31.707031,9.490723,263.843750,-5.812500,-15.958008,-4.517090,0.060483,-0.022030,0.000000
12,0.120000,12,-31.886719,10.264160,263.812500,-5.684814,-15.962402,-4.220459,0.060507,-0.021549,0.000000
