Format Version,1.0,
Take Name,trial1_squat,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,24 Dec 2019 15:40:38 +0900,
Total Frames In Take,5983,
Total Exported Frames,5983,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,5,48.800781,-6.957520,289.156250,-4.854980,15.062988,-1.420959,-0.052093,-0.016790,0.000000
6,0.060000,6,48.847656,-7.765137,288.781250,-4.858398,15.108887,-1.103577,-0.052319,-0.016824,0.000000
7,0.070000,7,49.482422,-7.131836,288.765625,-4.873047,15.178711,-1.225342,-0.052564,-0.016875,0.000000
8,0.080000,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.090000,9,48.800781,-8.341309,289.312500,-4.799561,15.130859,-0.997650,-0.052299,-0.016590,0.000000
10,0.100000,10,48.724609,-7.708252,289.296875,-4.860107,15.129883,-1.101990,-0.052299,-0.016800,0.000000
11,0.110000,11,49.044922,-8.415527,289.171875,-4.728760,15.162109,-1.182434,-0.052433,-0.016353,0.000000
12,0.120000,12,49.019531,-8.073730,289.046875,-4.713867,15.090332,-1.305298,-0.052207,-0.016308,0.000000
