Format Version,1.0,
Take Name,trial2-subject1-070220_001,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,5,8.251465,-4.562988,-26.805664,1.496399,-0.621399,-4.103271,-0.023182,-0.055824,0.000000
6,0.060000,6,8.092285,-5.490967,-27.046875,1.658020,-0.725006,-3.582397,-0.026806,-0.061302,0.000000
7,0.070000,7,8.465820,-4.404785,-26.809570,1.538818,-0.686707,-3.935181,-0.025614,-0.057398,0.000000
8,0.080000,8,7.977783,-4.537598,-26.804688,1.495850,-0.652924,-3.397339,-0.024359,-0.055806,0.000000
9,0.090000,9,7.821045,-5.310547,-27.303711,1.607666,-0.684692,-3.414307,-0.025077,-0.058881,0.000000
10,0.100000,10,7.667480,-5.314209,-26.918945,1.584229,-0.712250,-3.985718,-0.026459,-0.058852,0.000000
11,0.110000,11,7.919922,-4.260742,-26.937500,1.650940,-0.677856,-3.868164,-0.025164,-0.061288,0.000000
12,0.120000,12,6.998047,-5.081299,-26.404297,1.578308,-0.681519,-4.086670,-0.025811,-0.059775,0.000000
