Format Version,1.23,Take Name,Take 2019-12-02 04.15.11 PM_001,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2019-12-02 04.15.32.783 ÂçàÂæ?Total Frames in Take,472,Total Exported Frames,202,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Minh:L.ASIS,Minh:L.ASIS,Minh:L.ASIS,Minh:L.Acromium,Minh:L.Acromium,Minh:L.Acromium,Minh:L.Ankle.Lat,Minh:L.Ankle.Lat,Minh:L.Ankle.Lat,Minh:L.Ankle.Med,Minh:L.Ankle.Med,Minh:L.Ankle.Med,Minh:L.Heel,Minh:L.Heel,Minh:L.Heel,Minh:L.Knee.Lat,Minh:L.Knee.Lat,Minh:L.Knee.Lat,Minh:L.Knee.Med,Minh:L.Knee.Med,Minh:L.Knee.Med,Minh:L.Midfoot.Lat,Minh:L.Midfoot.Lat,Minh:L.Midfoot.Lat,Minh:L.Midfoot.Sup,Minh:L.Midfoot.Sup,Minh:L.Midfoot.Sup,Minh:L.Shank.Front,Minh:L.Shank.Front,Minh:L.Shank.Front,Minh:L.Shank.Rear,Minh:L.Shank.Rear,Minh:L.Shank.Rear,Minh:L.Shank.Upper,Minh:L.Shank.Upper,Minh:L.Shank.Upper,Minh:L.Thigh.Front,Minh:L.Thigh.Front,Minh:L.Thigh.Front,Minh:L.Thigh.Rear,Minh:L.Thigh.Rear,Minh:L.Thigh.Rear,Minh:L.Thigh.Upper,Minh:L.Thigh.Upper,Minh:L.Thigh.Upper,Minh:L.Toe.Lat,Minh:L.Toe.Lat,Minh:L.Toe.Lat,Minh:L.Toe.Med,Minh:L.Toe.Med,Minh:L.Toe.Med,Minh:L.Toe.Tip,Minh:L.Toe.Tip,Minh:L.Toe.Tip,Minh:R.ASIS,Minh:R.ASIS,Minh:R.ASIS,Minh:R.Acromium,Minh:R.Acromium,Minh:R.Acromium,Minh:R.Ankle.Lat,Minh:R.Ankle.Lat,Minh:R.Ankle.Lat,Minh:R.Ankle.Med,Minh:R.Ankle.Med,Minh:R.Ankle.Med,Minh:R.Heel,Minh:R.Heel,Minh:R.Heel,Minh:R.Knee.Lat,Minh:R.Knee.Lat,Minh:R.Knee.Lat,Minh:R.Knee.Med,Minh:R.Knee.Med,Minh:R.Knee.Med,Minh:R.Midfoot.Lat,Minh:R.Midfoot.Lat,Minh:R.Midfoot.Lat,Minh:R.Midfoot.Sup,Minh:R.Midfoot.Sup,Minh:R.Midfoot.Sup,Minh:R.Shank.Front,Minh:R.Shank.Front,Minh:R.Shank.Front,Minh:R.Shank.Rear,Minh:R.Shank.Rear,Minh:R.Shank.Rear,Minh:R.Shank.Upper,Minh:R.Shank.Upper,Minh:R.Shank.Upper,Minh:R.Thigh.Front,Minh:R.Thigh.Front,Minh:R.Thigh.Front,Minh:R.Thigh.Rear,Minh:R.Thigh.Rear,Minh:R.Thigh.Rear,Minh:R.Thigh.Upper,Minh:R.Thigh.Upper,Minh:R.Thigh.Upper,Minh:R.Toe.Lat,Minh:R.Toe.Lat,Minh:R.Toe.Lat,Minh:R.Toe.Med,Minh:R.Toe.Med,Minh:R.Toe.Med,Minh:R.Toe.Tip,Minh:R.Toe.Tip,Minh:R.Toe.Tip,Minh:Sternum,Minh:Sternum,Minh:Sternum,Minh:Top.Head,Minh:Top.Head,Minh:Top.Head,Minh:V.Sacral,Minh:V.Sacral,Minh:V.Sacral
,ID,36016422157311EA744A16929D0C23AC,36016422157311EA744A16929D0C23AC,36016422157311EA744A16929D0C23AC,2740D7A3157311EA744A16929D0C23AC,2740D7A3157311EA744A16929D0C23AC,2740D7A3157311EA744A16929D0C23AC,BABA595E157311EA744A16929D0C23AC,BABA595E157311EA744A16929D0C23AC,BABA595E157311EA744A16929D0C23AC,C435B4F0157311EA744A16929D0C23AC,C435B4F0157311EA744A16929D0C23AC,C435B4F0157311EA744A16929D0C23AC,BABA595D157311EA744A16929D0C23AC,BABA595D157311EA744A16929D0C23AC,BABA595D157311EA744A16929D0C23AC,A39D4DF6157311EA744A16929D0C23AC,A39D4DF6157311EA744A16929D0C23AC,A39D4DF6157311EA744A16929D0C23AC,9C422CF7157311EA744A16929D0C23AC,9C422CF7157311EA744A16929D0C23AC,9C422CF7157311EA744A16929D0C23AC,CD6BCC1E157311EA744A16929D0C23AC,CD6BCC1E157311EA744A16929D0C23AC,CD6BCC1E157311EA744A16929D0C23AC,C435B4F1157311EA744A16929D0C23AC,C435B4F1157311EA744A16929D0C23AC,C435B4F1157311EA744A16929D0C23AC,A9BFC052157311EA744A16929D0C23AC,A9BFC052157311EA744A16929D0C23AC,A9BFC052157311EA744A16929D0C23AC,B21F96EE157311EA744A16929D0C23AC,B21F96EE157311EA744A16929D0C23AC,B21F96EE157311EA744A16929D0C23AC,A9BFC051157311EA744A16929D0C23AC,A9BFC051157311EA744A16929D0C23AC,A9BFC051157311EA744A16929D0C23AC,912EFB56157311EA744A16929D0C23AC,912EFB56157311EA744A16929D0C23AC,912EFB56157311EA744A16929D0C23AC,9C422CF6157311EA744A16929D0C23AC,9C422CF6157311EA744A16929D0C23AC,9C422CF6157311EA744A16929D0C23AC,912EFB55157311EA744A16929D0C23AC,912EFB55157311EA744A16929D0C23AC,912EFB55157311EA744A16929D0C23AC,CD6BCC1F157311EA744A16929D0C23AC,CD6BCC1F157311EA744A16929D0C23AC,CD6BCC1F157311EA744A16929D0C23AC,CD6BCC20157311EA744A16929D0C23AC,CD6BCC20157311EA744A16929D0C23AC,CD6BCC20157311EA744A16929D0C23AC,D5AD219F157311EA744A16929D0C23AC,D5AD219F157311EA744A16929D0C23AC,D5AD219F157311EA744A16929D0C23AC,36016423157311EA744A16929D0C23AC,36016423157311EA744A16929D0C23AC,36016423157311EA744A16929D0C23AC,2740D7A4157311EA744A16929D0C23AC,2740D7A4157311EA744A16929D0C23AC,2740D7A4157311EA744A16929D0C23AC,82593B0B157311EA744A16929D0C23AC,82593B0B157311EA744A16929D0C23AC,82593B0B157311EA744A16929D0C23AC,82593B0A157311EA744A16929D0C23AC,82593B0A157311EA744A16929D0C23AC,82593B0A157311EA744A16929D0C23AC,6B075845157311EA744A16929D0C23AC,6B075845157311EA744A16929D0C23AC,6B075845157311EA744A16929D0C23AC,55C6520D157311EA744A16929D0C23AC,55C6520D157311EA744A16929D0C23AC,55C6520D157311EA744A16929D0C23AC,55C6520C157311EA744A16929D0C23AC,55C6520C157311EA744A16929D0C23AC,55C6520C157311EA744A16929D0C23AC,74004636157311EA744A16929D0C23AC,74004636157311EA744A16929D0C23AC,74004636157311EA744A16929D0C23AC,74004635157311EA744A16929D0C23AC,74004635157311EA744A16929D0C23AC,74004635157311EA744A16929D0C23AC,5CAC6D2A157311EA744A16929D0C23AC,5CAC6D2A157311EA744A16929D0C23AC,5CAC6D2A157311EA744A16929D0C23AC,5CAC6D2C157311EA744A16929D0C23AC,5CAC6D2C157311EA744A16929D0C23AC,5CAC6D2C157311EA744A16929D0C23AC,5CAC6D2B157311EA744A16929D0C23AC,5CAC6D2B157311EA744A16929D0C23AC,5CAC6D2B157311EA744A16929D0C23AC,4903E265157311EA744A16929D0C23AC,4903E265157311EA744A16929D0C23AC,4903E265157311EA744A16929D0C23AC,4903E266157311EA744A16929D0C23AC,4903E266157311EA744A16929D0C23AC,4903E266157311EA744A16929D0C23AC,4903E264157311EA744A16929D0C23AC,4903E264157311EA744A16929D0C23AC,4903E264157311EA744A16929D0C23AC,7AC0AA6E157311EA744A16929D0C23AC,7AC0AA6E157311EA744A16929D0C23AC,7AC0AA6E157311EA744A16929D0C23AC,7AC0AA6D157311EA744A16929D0C23AC,7AC0AA6D157311EA744A16929D0C23AC,7AC0AA6D157311EA744A16929D0C23AC,7AC0AA6F157311EA744A16929D0C23AC,7AC0AA6F157311EA744A16929D0C23AC,7AC0AA6F157311EA744A16929D0C23AC,2740D7A5157311EA744A16929D0C23AC,2740D7A5157311EA744A16929D0C23AC,2740D7A5157311EA744A16929D0C23AC,EC9982F157311EA744A16929D0C23AC,EC9982F157311EA744A16929D0C23AC,EC9982F157311EA744A16929D0C23AC,3C715DBC157311EA744A16929D0C23AC,3C715DBC157311EA744A16929D0C23AC,3C715DBC157311EA744A16929D0C23AC
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
100,1,-0.358791,0.917038,0.068563,-0.438228,1.398091,0.01117,-0.55675,0.078806,0.092649,-0.523064,0.080703,0.184155,-0.605487,0.053137,0.148202,-0.454277,0.47874,0.065257,-0.451193,0.475753,0.187956,-0.50739,0.041308,0.076599,-0.465663,0.03615,0.164855,-0.435495,0.387688,0.11581,-0.552581,0.331906,0.053674,-0.458657,0.417969,0.069182,-0.334455,0.687051,0.092507,-0.461962,0.614925,0.036977,-0.420499,0.745263,0.011909,-0.436391,0.030542,0.045403,-0.403826,0.035051,0.151538,-0.38483,0.034263,0.084937,-0.37705,0.919838,0.309238,-0.465552,1.392539,0.325689,-0.49288,0.10277,0.380977,-0.474059,0.101873,0.288275,-0.553997,0.077772,0.322022,-0.363084,0.480394,0.369474,-0.340474,0.456906,0.252049,-0.449063,0.063863,0.400793,-0.416903,0.053587,0.316832,-0.339805,0.384465,0.337302,-0.449038,0.342512,0.395545,-0.363861,0.419558,0.374369,-0.304618,0.726444,0.327174,-0.427506,0.605126,0.3625,-0.415719,0.754702,0.379586,-0.396917,0.050892,0.423325,-0.358074,0.046615,0.340158,-0.350532,0.04862,0.399511,-0.314272,1.182335,0.181205,-0.289948,1.678665,0.183634,-0.576785,0.878545,0.185261
101,1.01,-0.35672,0.91675,0.06758,-0.435073,1.397902,0.009979,-0.556713,0.078773,0.092637,-0.523035,0.080739,0.184157,-0.605475,0.053198,0.148215,-0.453597,0.47858,0.064768,-0.450093,0.475567,0.187572,-0.507408,0.04131,0.076576,-0.46569,0.036086,0.164858,-0.434673,0.387432,0.115486,-0.551942,0.331906,0.053491,-0.457801,0.417777,0.06885,-0.332776,0.686508,0.091743,-0.460651,0.614672,0.03652,-0.418857,0.744843,0.01133,-0.436422,0.030522,0.045364,-0.403852,0.035023,0.151526,-0.384842,0.034235,0.084907,-0.374752,0.920264,0.30821,-0.463555,1.392557,0.324271,-0.480652,0.102651,0.377772,-0.461768,0.102387,0.285149,-0.541395,0.077168,0.318652,-0.354959,0.481577,0.368012,-0.3318,0.458756,0.250487,-0.436482,0.064202,0.397506,-0.404127,0.05476,0.313587,-0.330534,0.385937,0.335531,-0.439372,0.34263,0.393417,-0.355045,0.420628,0.372654,-0.300147,0.72868,0.32596,-0.42103,0.60565,0.361423,-0.411517,0.755389,0.378649,-0.384231,0.051791,0.419895,-0.345301,0.048407,0.336981,-0.337861,0.0503,0.396165,-0.3119,1.182168,0.180464,-0.285063,1.677514,0.182768,-0.574432,0.878281,0.184979
102,1.02,-0.354626,0.916468,0.066585,-0.431757,1.397734,0.00886,-0.556682,0.078742,0.09264,-0.523002,0.080782,0.184167,-0.605457,0.05326,0.148242,-0.452601,0.47825,0.064417,-0.448875,0.475346,0.187187,-0.507426,0.041311,0.076555,-0.465711,0.036027,0.16486,-0.433827,0.387177,0.115185,-0.551317,0.331919,0.053366,-0.456937,0.417603,0.068536,-0.331064,0.685957,0.090944,-0.45935,0.614422,0.036107,-0.417236,0.744421,0.01078,-0.436456,0.030499,0.045317,-0.403875,0.034993,0.151511,-0.384855,0.034215,0.084867,-0.372328,0.920691,0.307184,-0.461444,1.392563,0.322912,-0.467421,0.102186,0.374641,-0.448289,0.102617,0.282183,-0.52755,0.076077,0.315374,-0.347065,0.482807,0.366489,-0.323442,0.460594,0.248847,-0.422691,0.064368,0.39442,-0.39006,0.055834,0.310574,-0.321267,0.387537,0.333763,-0.429546,0.34257,0.391256,-0.346363,0.421783,0.370907,-0.295736,0.730834,0.32474,-0.41471,0.606222,0.360316,-0.407288,0.756094,0.377726,-0.370346,0.05268,0.416726,-0.331259,0.050278,0.334076,-0.323976,0.052106,0.393116,-0.309428,1.181984,0.179769,-0.280099,1.676343,0.181985,-0.572027,0.87806,0.184807
103,1.03,-0.352499,0.916185,0.065578,-0.428282,1.397576,0.007814,-0.55665,0.078723,0.092656,-0.522969,0.080833,0.184186,-0.605434,0.053325,0.148283,-0.451456,0.47784,0.064147,-0.447545,0.475078,0.186789,-0.507446,0.041311,0.076537,-0.465726,0.035972,0.164862,-0.432959,0.386919,0.114896,-0.550703,0.331944,0.053298,-0.456048,0.417434,0.068224,-0.329317,0.685398,0.090126,-0.458048,0.614171,0.035736,-0.415622,0.743995,0.01026,-0.436492,0.030474,0.045266,-0.403892,0.034967,0.151489,-0.38487,0.034201,0.08482,-0.369779,0.921097,0.306166,-0.459204,1.392546,0.321617,-0.453211,0.101434,0.371647,-0.433693,0.102614,0.279412,-0.512521,0.074561,0.312236,-0.339385,0.484058,0.364918,-0.315395,0.462386,0.247146,-0.407756,0.064416,0.39157,-0.374778,0.056846,0.307827,-0.312019,0.389243,0.332023,-0.41958,0.342354,0.389073,-0.337809,0.423005,0.369147,-0.29136,0.732878,0.323479,-0.408531,0.606816,0.359199,-0.402967,0.756789,0.376812,-0.355324,0.053611,0.413854,-0.316032,0.052253,0.331474,-0.308953,0.054072,0.3904,-0.306857,1.181766,0.179116,-0.275061,1.675147,0.181281,-0.569569,0.877861,0.184728
104,1.04,-0.350329,0.915885,0.06458,-0.424653,1.397416,0.006841,-0.556615,0.078719,0.092683,-0.522944,0.080898,0.184214,-0.605406,0.053391,0.148337,-0.450459,0.47752,0.06385,-0.446113,0.474751,0.186366,-0.507468,0.04131,0.076522,-0.465736,0.035922,0.164865,-0.432072,0.386652,0.114612,-0.550096,0.331977,0.053278,-0.455125,0.417271,0.06791,-0.327534,0.684827,0.089308,-0.456731,0.613915,0.035404,-0.413994,0.743559,0.009769,-0.436531,0.030447,0.045211,-0.403903,0.034949,0.151461,-0.384887,0.034193,0.084768,-0.367099,0.921465,0.305159,-0.456822,1.39249,0.320391,-0.438007,0.10051,0.368868,-0.41807,0.102439,0.276859,-0.49639,0.072703,0.309283,-0.331892,0.485308,0.36331,-0.307605,0.464138,0.245382,-0.391756,0.064407,0.388975,-0.358383,0.057854,0.305351,-0.302782,0.39105,0.330323,-0.409477,0.342014,0.38688,-0.329368,0.424282,0.367385,-0.287003,0.734792,0.322153,-0.402467,0.607407,0.358092,-0.398529,0.757457,0.375917,-0.339238,0.054623,0.411285,-0.299728,0.054367,0.329174,-0.292887,0.056233,0.388018,-0.304184,1.181501,0.178498,-0.269956,1.673925,0.180652,-0.567051,0.877664,0.184722
105,1.05,-0.348102,0.915558,0.063605,-0.420876,1.397241,0.00594,-0.556579,0.078727,0.092721,-0.522922,0.080968,0.18425,-0.605375,0.05346,0.148402,-0.449765,0.477381,0.063465,-0.444591,0.474361,0.185901,-0.507492,0.041308,0.076511,-0.465743,0.035874,0.164869,-0.431169,0.386378,0.114326,-0.549495,0.332017,0.053299,-0.454162,0.417122,0.067584,-0.325712,0.684241,0.088508,-0.45539,0.613652,0.035105,-0.41233,0.743111,0.009306,-0.436571,0.030418,0.045153,-0.40391,0.034939,0.151428,-0.384907,0.03419,0.084711,-0.364293,0.921779,0.30417,-0.454287,1.392382,0.319239,-0.42185,0.099511,0.366338,-0.401526,0.102155,0.274534,-0.479252,0.070604,0.306548,-0.324551,0.486541,0.361678,-0.299993,0.465878,0.243551,-0.37478,0.064408,0.386632,-0.340998,0.058925,0.303124,-0.293527,0.392962,0.328671,-0.39923,0.341581,0.384699,-0.321013,0.4256,0.365634,-0.282651,0.736567,0.320749,-0.396485,0.607979,0.357013,-0.39404,0.758089,0.375059,-0.322182,0.055765,0.409002,-0.282469,0.056674,0.327148,-0.275882,0.058628,0.385939,-0.301408,1.181176,0.177909,-0.26479,1.672672,0.180096,-0.564467,0.877449,0.18477
